Round,RaceId,RaceName,Driver,RoundPoints,CumulativePoints
1,1,Australian Grand Prix,Alexander Albon,0.0,0.0
2,2,Chinese Grand Prix,Alexander Albon,0.0,0.0
3,3,Japanese Grand Prix,Alexander Albon,0.0,0.0
4,4,Miami Grand Prix,Alexander Albon,1.0,1.0
5,5,Canadian Grand Prix,Alexander Albon,0.0,1.0
6,6,Monaco Grand Prix,Alexander Albon,4.0,5.0
7,7,Barcelona Grand Prix,Alexander Albon,0.0,5.0
8,8,Austrian Grand Prix,Alexander Albon,0.0,5.0
9,9,British Grand Prix,Alexander Albon,0.0,5.0
10,10,Belgian Grand Prix,Alexander Albon,0.0,5.0
11,11,Hungarian Grand Prix,Alexander Albon,0.0,5.0
12,12,Dutch Grand Prix,Alexander Albon,0.0,5.0
13,13,Italian Grand Prix,Alexander Albon,0.0,5.0
14,14,Spanish Grand Prix,Alexander Albon,0.0,5.0
1,1,Australian Grand Prix,Arvid Lindblad,4.0,4.0
2,2,Chinese Grand Prix,Arvid Lindblad,0.0,4.0
3,3,Japanese Grand Prix,Arvid Lindblad,0.0,4.0
4,4,Miami Grand Prix,Arvid Lindblad,0.0,4.0
5,5,Canadian Grand Prix,Arvid Lindblad,0.0,4.0
6,6,Monaco Grand Prix,Arvid Lindblad,6.0,10.0
7,7,Barcelona Grand Prix,Arvid Lindblad,1.0,11.0
8,8,Austrian Grand Prix,Arvid Lindblad,1.0,12.0
9,9,British Grand Prix,Arvid Lindblad,6.0,18.0
10,10,Belgian Grand Prix,Arvid Lindblad,2.0,20.0
11,11,Hungarian Grand Prix,Arvid Lindblad,1.0,21.0
12,12,Dutch Grand Prix,Arvid Lindblad,0.0,21.0
13,13,Italian Grand Prix,Arvid Lindblad,4.0,25.0
14,14,Spanish Grand Prix,Arvid Lindblad,2.0,27.0
1,1,Australian Grand Prix,Carlos Sainz,0.0,0.0
2,2,Chinese Grand Prix,Carlos Sainz,2.0,2.0
3,3,Japanese Grand Prix,Carlos Sainz,0.0,2.0
4,4,Miami Grand Prix,Carlos Sainz,2.0,4.0
5,5,Canadian Grand Prix,Carlos Sainz,2.0,6.0
6,6,Monaco Grand Prix,Carlos Sainz,0.0,6.0
7,7,Barcelona Grand Prix,Carlos Sainz,0.0,6.0
8,8,Austrian Grand Prix,Carlos Sainz,0.0,6.0
9,9,British Grand Prix,Carlos Sainz,0.0,6.0
10,10,Belgian Grand Prix,Carlos Sainz,0.0,6.0
11,11,Hungarian Grand Prix,Carlos Sainz,0.0,6.0
12,12,Dutch Grand Prix,Carlos Sainz,0.0,6.0
13,13,Italian Grand Prix,Carlos Sainz,0.0,6.0
14,14,Spanish Grand Prix,Carlos Sainz,0.0,6.0
1,1,Australian Grand Prix,Charles Leclerc,15.0,15.0
2,2,Chinese Grand Prix,Charles Leclerc,12.0,27.0
3,3,Japanese Grand Prix,Charles Leclerc,15.0,42.0
4,4,Miami Grand Prix,Charles Leclerc,8.0,50.0
5,5,Canadian Grand Prix,Charles Leclerc,12.0,62.0
6,6,Monaco Grand Prix,Charles Leclerc,0.0,62.0
7,7,Barcelona Grand Prix,Charles Leclerc,0.0,62.0
8,8,Austrian Grand Prix,Charles Leclerc,4.0,66.0
9,9,British Grand Prix,Charles Leclerc,25.0,91.0
10,10,Belgian Grand Prix,Charles Leclerc,18.0,109.0
11,11,Hungarian Grand Prix,Charles Leclerc,10.0,119.0
12,12,Dutch Grand Prix,Charles Leclerc,10.0,129.0
13,13,Italian Grand Prix,Charles Leclerc,0.0,129.0
14,14,Spanish Grand Prix,Charles Leclerc,12.0,141.0
1,1,Australian Grand Prix,Esteban Ocon,0.0,0.0
2,2,Chinese Grand Prix,Esteban Ocon,0.0,0.0
3,3,Japanese Grand Prix,Esteban Ocon,1.0,1.0
4,4,Miami Grand Prix,Esteban Ocon,0.0,1.0
5,5,Canadian Grand Prix,Esteban Ocon,0.0,1.0
6,6,Monaco Grand Prix,Esteban Ocon,1.0,2.0
7,7,Barcelona Grand Prix,Esteban Ocon,0.0,2.0
8,8,Austrian Grand Prix,Esteban Ocon,0.0,2.0
