DateTime,Temperature,RainProbability,WeatherCode,WindSpeed,Date,WeatherDescription,RaceName
2026-09-24 00:00:00,23.6,0,1.0,12.5,2026-09-24,Mainly clear,Azerbaijan Grand Prix
2026-09-24 01:00:00,23.4,0,1.0,11.3,2026-09-24,Mainly clear,Azerbaijan Grand Prix
2026-09-24 02:00:00,23.3,0,1.0,9.8,2026-09-24,Mainly clear,Azerbaijan Grand Prix
2026-09-24 03:00:00,23.1,0,1.0,8.3,2026-09-24,Mainly clear,Azerbaijan Grand Prix
2026-09-24 04:00:00,22.9,0,1.0,6.8,2026-09-24,Mainly clear,Azerbaijan Grand Prix
2026-09-24 05:00:00,22.6,0,0.0,6.1,2026-09-24,Clear,Azerbaijan Grand Prix
2026-09-24 06:00:00,22.3,0,0.0,5.4,2026-09-24,Clear,Azerbaijan Grand Prix
2026-09-24 07:00:00,22.6,0,0.0,4.8,2026-09-24,Clear,Azerbaijan Grand Prix
2026-09-24 08:00:00,24.1,0,0.0,4.1,2026-09-24,Clear,Azerbaijan Grand Prix
2026-09-24 09:00:00,26.2,0,0.0,3.7,2026-09-24,Clear,Azerbaijan Grand Prix
2026-09-24 10:00:00,28.3,0,0.0,2.5,2026-09-24,Clear,Azerbaijan Grand Prix
2026-09-24 11:00:00,30.5,0,1.0,2.9,2026-09-24,Mainly clear,Azerbaijan Grand Prix
2026-09-24 12:00:00,32.7,0,1.0,5.1,2026-09-24,Mainly clear,Azerbaijan Grand Prix
2026-09-24 13:00:00,33.6,0,1.0,6.9,2026-09-24,Mainly clear,Azerbaijan Grand Prix
2026-09-24 14:00:00,32.2,0,1.0,11.9,2026-09-24,Mainly clear,Azerbaijan Grand Prix
2026-09-24 15:00:00,29.5,0,1.0,20.3,2026-09-24,Mainly clear,Azerbaijan Grand Prix
2026-09-24 16:00:00,27.1,0,1.0,27.7,2026-09-24,Mainly clear,Azerbaijan Grand Prix
2026-09-24 17:00:00,25.6,0,3.0,31.4,2026-09-24,Overcast,Azerbaijan Grand Prix
2026-09-24 18:00:00,24.4,0,3.0,33.5,2026-09-24,Overcast,Azerbaijan Grand Prix
2026-09-24 19:00:00,23.6,0,3.0,35.7,2026-09-24,Overcast,Azerbaijan Grand Prix
2026-09-24 20:00:00,23.2,0,3.0,38.9,2026-09-24,Overcast,Azerbaijan Grand Prix
2026-09-24 21:00:00,23.1,0,3.0,42.4,2026-09-24,Overcast,Azerbaijan Grand Prix
2026-09-24 22:00:00,23.0,0,3.0,44.8,2026-09-24,Overcast,Azerbaijan Grand Prix
2026-09-24 23:00:00,22.7,0,3.0,45.5,2026-09-24,Overcast,Azerbaijan Grand Prix
2026-09-25 00:00:00,22.4,0,3.0,44.9,2026-09-25,Overcast,Azerbaijan Grand Prix
2026-09-25 01:00:00,22.1,0,3.0,44.4,2026-09-25,Overcast,Azerbaijan Grand Prix
2026-09-25 02:00:00,21.9,0,2.0,43.9,2026-09-25,Partly cloudy,Azerbaijan Grand Prix
2026-09-25 03:00:00,21.8,0,2.0,43.0,2026-09-25,Partly cloudy,Azerbaijan Grand Prix
2026-09-25 04:00:00,21.7,0,2.0,42.2,2026-09-25,Partly cloudy,Azerbaijan Grand Prix
2026-09-25 05:00:00,21.6,0,2.0,41.8,2026-09-25,Partly cloudy,Azerbaijan Grand Prix
2026-09-25 06:00:00,21.4,0,2.0,41.4,2026-09-25,Partly cloudy,Azerbaijan Grand Prix
2026-09-25 07:00:00,21.5,0,2.0,41.4,2026-09-25,Partly cloudy,Azerbaijan Grand Prix
2026-09-25 08:00:00,21.8,0,3.0,42.5,2026-09-25,Overcast,Azerbaijan Grand Prix
2026-09-25 09:00:00,22.3,0,3.0,43.9,2026-09-25,Overcast,Azerbaijan Grand Prix
