Round,RaceId,RaceName,Winner,WinnerConstructor,WinnerStartPosition,PoleDriver,PoleConstructor,FastestLapDriver,FastestLapTime
1,1,Australian Grand Prix,George Russell,Mercedes,,,,Max Verstappen,1:22.091
2,2,Chinese Grand Prix,Kimi Antonelli,Mercedes,,,,Kimi Antonelli,1:35.275
3,3,Japanese Grand Prix,Kimi Antonelli,Mercedes,,,,Kimi Antonelli,1:32.432
4,4,Miami Grand Prix,Kimi Antonelli,Mercedes,,,,Lando Norris,1:31.869
5,5,Canadian Grand Prix,Kimi Antonelli,Mercedes,,,,Kimi Antonelli,1:14.210
6,6,Monaco Grand Prix,Kimi Antonelli,Mercedes,,,,Kimi Antonelli,1:13.481
7,7,Barcelona Grand Prix,Lewis Hamilton,Ferrari,,,,Lewis Hamilton,1:20.122
8,8,Austrian Grand Prix,George Russell,Mercedes,,,,Kimi Antonelli,1:10.374
9,9,British Grand Prix,Charles Leclerc,Ferrari,,,,Kimi Antonelli,1:31.777
10,10,Belgian Grand Prix,Kimi Antonelli,Mercedes,,,,Lando Norris,1:48.890
11,11,Hungarian Grand Prix,Lando Norris,McLaren,,,,Charles Leclerc,1:22.000
12,12,Dutch Grand Prix,Lando Norris,McLaren,,,,Charles Leclerc,1:14.230
13,13,Italian Grand Prix,Kimi Antonelli,Mercedes,,,,Kimi Antonelli,1:23.504
14,14,Spanish Grand Prix,Kimi Antonelli,Mercedes,,,,George Russell,1:35.587
