RaceId,Round,RaceName,AirTempAvg,TrackTempAvg,HumidityAvg,WindSpeedAvg,RainDuringRace
1,1,Australian Grand Prix,24.2,36.1,54.0,2.6,False
2,2,Chinese Grand Prix,15.6,22.6,55.0,2.2,False
3,3,Japanese Grand Prix,18.6,34.1,52.5,2.0,False
4,4,Miami Grand Prix,27.1,37.0,70.4,1.2,True
5,5,Canadian Grand Prix,12.8,17.8,71.7,3.0,False
6,6,Monaco Grand Prix,23.7,38.0,62.2,0.8,False
7,7,Barcelona Grand Prix,30.5,50.3,28.9,2.6,False
8,8,Austrian Grand Prix,34.5,50.2,29.8,1.5,False
9,9,British Grand Prix,24.8,40.0,49.9,1.8,False
10,10,Belgian Grand Prix,18.0,31.0,48.8,2.0,False
11,11,Hungarian Grand Prix,30.8,50.5,25.6,2.4,False
12,12,Dutch Grand Prix,18.5,32.1,59.8,1.5,True
13,13,Italian Grand Prix,32.2,55.0,37.7,1.3,False
14,14,Spanish Grand Prix,30.6,53.3,23.5,1.5,False
