X,Y,Number,Letter,Angle,Distance,Rotation,RaceName
3689.0374001567743,631.3189725875945,1,,-24.903645119677286,287.86658095316113,357.0,Azerbaijan Grand Prix
2384.0669137610676,3686.0714516243042,2,,77.31677056705472,621.7075153451498,357.0,Azerbaijan Grand Prix
-5565.825567829175,374.2425523226766,3,,145.17933231096453,1485.0013344904814,357.0,Azerbaijan Grand Prix
-4862.6651767420935,-1723.1620080668729,4,,-26.596082318859345,1713.6048397706195,357.0,Azerbaijan Grand Prix
-7728.697050002749,-3377.074091094411,5,,-199.97457302181692,2048.2500828857264,357.0,Azerbaijan Grand Prix
-7617.318818496836,-3926.026038238873,6,,-202.2750973368365,2108.236390431697,357.0,Azerbaijan Grand Prix
-10710.063798831094,-6235.337256785684,7,,68.56357028741353,2487.9201686681076,357.0,Azerbaijan Grand Prix
-11409.887894367614,-4438.977047761271,8,,25.432318001574835,2677.343173290815,357.0,Azerbaijan Grand Prix
-11606.2553499057,-4286.033173998214,9,,66.83944441448027,2704.462922303358,357.0,Azerbaijan Grand Prix
-11886.309274295963,-4199.07140004945,10,,81.38530281497013,2745.34131234776,357.0,Azerbaijan Grand Prix
-12352.278964478111,-4129.880226960703,11,,-114.90392566439111,2788.671280054445,357.0,Azerbaijan Grand Prix
-12573.09027225614,-3645.1900160358095,12,,50.828198968469465,2845.271755040108,357.0,Azerbaijan Grand Prix
-16186.999703336216,-5197.330621083427,13,,138.08555118825365,3250.072296881095,357.0,Azerbaijan Grand Prix
-16888.82437537549,-7335.751780162162,14,,-183.8775543415825,3452.522660420069,357.0,Azerbaijan Grand Prix
-16846.43031172375,-9555.895632026248,15,,-154.64793221960304,3691.217710006451,357.0,Azerbaijan Grand Prix
-13660.610623947281,-11108.575388918323,16,,-59.75879758332747,4046.9577547288127,357.0,Azerbaijan Grand Prix
-12714.251049135808,-9481.44133662404,17,,-36.31538752111932,4235.32258352352,357.0,Azerbaijan Grand Prix
-11029.53380137574,-7796.23853385484,18,,-37.21067888992388,4466.90151922358,357.0,Azerbaijan Grand Prix
-10524.590291121332,-6346.5942106800085,19,,-31.487940217715586,4619.82637646578,357.0,Azerbaijan Grand Prix
-8077.3100390339205,-4403.674074673621,20,,-53.634965928817174,2175.6844185281725,357.0,Azerbaijan Grand Prix
